epoch = 61, train-loss = 0.00017451344057917595, eval_loss = 0.0004443900202805141
epoch = 62, train-loss = 0.00019061041995882988, eval_loss = 0.000445620947570171
epoch = 63, train-loss = 0.00017988121137022973, eval_loss = 0.0004219017079416311
epoch = 64, train-loss = 0.00018103303387761115, eval_loss = 0.00045054402413233273
epoch = 65, train-loss = 0.0001825152523815632, eval_loss = 0.0003579046647503691
epoch = 66, train-loss = 0.0001705639995634556, eval_loss = 0.0003665964347573946
epoch = 67, train-loss = 0.00017495615407824515, eval_loss = 0.0003812756248802509
epoch = 68, train-loss = 0.0001748335175216198, eval_loss = 0.00035261865353809215
epoch = 69, train-loss = 0.00018212258815765382, eval_loss = 0.0003433653135906975
epoch = 70, train-loss = 0.0001781843788921833, eval_loss = 0.00035692955244262265
epoch = 71, train-loss = 0.00018744444474577904, eval_loss = 0.00030795108737810605
epoch = 72, train-loss = 0.000180502999573946, eval_loss = 0.00033537410902527144
epoch = 73, train-loss = 0.00017784789204597473, eval_loss = 0.0003466375593869191
epoch = 74, train-loss = 0.0001768115907907486, eval_loss = 0.00035885250512159093
epoch = 75, train-loss = 0.00017884202301502228, eval_loss = 0.0003765164962354696
epoch = 76, train-loss = 0.00017532117664813995, eval_loss = 0.00033276296168003444
epoch = 77, train-loss = 0.00017995350062847138, eval_loss = 0.0003679111810787669
epoch = 78, train-loss = 0.00017411386594176292, eval_loss = 0.00035463617938869403
epoch = 79, train-loss = 0.00017245149239897728, eval_loss = 0.0003390113629822461
epoch = 80, train-loss = 0.00017550749704241752, eval_loss = 0.00033571282928844667
epoch = 81, train-loss = 0.0001801304332911968, eval_loss = 0.00031628125821644407
epoch = 82, train-loss = 0.00017379818484187127, eval_loss = 0.0003804291053762976
epoch = 83, train-loss = 0.00017646465450525285, eval_loss = 0.0003103748104482327
epoch = 84, train-loss = 0.00017216768115758897, eval_loss = 0.0003617101893672403
epoch = 85, train-loss = 0.00016927784308791162, eval_loss = 0.00018735235240661873
epoch = 86, train-loss = 0.0001821517199277878, eval_loss = 0.0003407248559425462
epoch = 87, train-loss = 0.00017755310982465745, eval_loss = 0.00031017255530042467
epoch = 88, train-loss = 0.00017636628821492194, eval_loss = 0.0003142263740301132
epoch = 89, train-loss = 0.00016920238733291625, eval_loss = 0.00031976658358888807
epoch = 90, train-loss = 0.00016625270247459413, eval_loss = 0.00025360845029354095
epoch = 91, train-loss = 0.00017146486788988113, eval_loss = 0.00035977848577049544
epoch = 92, train-loss = 0.00017254700884222985, eval_loss = 0.0003489526164419246
epoch = 93, train-loss = 0.00017200564965605736, eval_loss = 0.0003393425272320801
epoch = 94, train-loss = 0.0001670483499765396, eval_loss = 0.00035290996421058225
epoch = 95, train-loss = 0.00016838373616337777, eval_loss = 0.00034051782117699677
epoch = 96, train-loss = 0.0001679336279630661, eval_loss = 0.0003270848109474722
epoch = 97, train-loss = 0.00016865257173776627, eval_loss = 0.0002754870275000356
epoch = 98, train-loss = 0.00016724830493330956, eval_loss = 0.0002719531854930914
epoch = 99, train-loss = 0.00016368471086025238, eval_loss = 0.00034811295006635055
epoch = 100, train-loss = 0.0001686723157763481, eval_loss = 0.0002834778279066086
epoch = 101, train-loss = 0.00016754204407334327, eval_loss = 0.0003246753915863217
epoch = 102, train-loss = 0.000172139685600996, eval_loss = 0.0003265069340759853
epoch = 103, train-loss = 0.00016801320016384124, eval_loss = 0.0002842493495851193
epoch = 104, train-loss = 0.00017140347510576247, eval_loss = 0.0002881883169120213
epoch = 105, train-loss = 0.00017600856721401215, eval_loss = 0.0002682076872519727
epoch = 106, train-loss = 0.00018084831535816192, eval_loss = 0.0003177753104916159
epoch = 107, train-loss = 0.000170280821621418, eval_loss = 0.0002987309236009166
epoch = 108, train-loss = 0.0001652652584016323, eval_loss = 0.00027524532293373685
epoch = 109, train-loss = 0.0001732156053185463, eval_loss = 0.00026900024276297046
epoch = 110, train-loss = 0.00016548844054341315, eval_loss = 0.0003171700913951082
epoch = 111, train-loss = 0.00016642848029732704, eval_loss = 0.0003156260991433881
epoch = 112, train-loss = 0.00017530059441924094, eval_loss = 0.0002293218770679438
epoch = 113, train-loss = 0.0001706370897591114, eval_loss = 0.00026018458928139706
epoch = 114, train-loss = 0.0001661263033747673, eval_loss = 0.0002949381212018571
epoch = 115, train-loss = 0.0001665625721216202, eval_loss = 0.00036145374178886414
epoch = 116, train-loss = 0.00016953960061073304, eval_loss = 0.00028316374376135054
epoch = 117, train-loss = 0.0001583997905254364, eval_loss = 0.00034288482143069213
epoch = 118, train-loss = 0.00016855785623192787, eval_loss = 0.00033719711146264707
epoch = 119, train-loss = 0.00016726283356547356, eval_loss = 0.0002797966436395105
epoch = 120, train-loss = 0.00017192816361784934, eval_loss = 0.0003286901299121245
epoch = 121, train-loss = 0.00017285037785768508, eval_loss = 0.0003347029241750825
epoch = 122, train-loss = 0.00016441354528069497, eval_loss = 0.0003620645136765714
epoch = 123, train-loss = 0.0001709558814764023, eval_loss = 0.0003404305228647196
epoch = 124, train-loss = 0.00016065392643213272, eval_loss = 0.000288218488249014
epoch = 125, train-loss = 0.00016055198386311532, eval_loss = 0.0003267303460611487
epoch = 126, train-loss = 0.00017340116202831267, eval_loss = 0.00028542088309548935
epoch = 127, train-loss = 0.00016834869980812074, eval_loss = 0.0002881441230200372
epoch = 128, train-loss = 0.0001689564622938633, eval_loss = 0.0002537567765926415
epoch = 129, train-loss = 0.0001702912151813507, eval_loss = 0.000291537862481936
epoch = 130, train-loss = 0.00017279444262385368, eval_loss = 0.0002451335202972844
epoch = 131, train-loss = 0.00016921412199735641, eval_loss = 0.00026909840064791014
epoch = 132, train-loss = 0.00017270980402827262, eval_loss = 0.00036798431625906025
epoch = 133, train-loss = 0.00016930956393480302, eval_loss = 0.00035012562601071485
epoch = 134, train-loss = 0.00016214959323406218, eval_loss = 0.00028148061543140774
epoch = 135, train-loss = 0.0001686202548444271, eval_loss = 0.0002683995748465916
epoch = 136, train-loss = 0.00015923114493489267, eval_loss = 0.0002478114065696608
epoch = 137, train-loss = 0.0001613917388021946, eval_loss = 0.00032798981048026173
epoch = 138, train-loss = 0.00016802743077278136, eval_loss = 0.00036918466805287126
epoch = 139, train-loss = 0.00015872476622462274, eval_loss = 0.00024746245933028886
epoch = 140, train-loss = 0.00016425488516688347, eval_loss = 0.00023202248409671602
epoch = 141, train-loss = 0.00016632517799735068, eval_loss = 0.0002702045131404445
epoch = 142, train-loss = 0.00016101796180009842, eval_loss = 0.0003993616281252987
epoch = 143, train-loss = 0.00015484441071748735, eval_loss = 0.00026669929612357663
epoch = 144, train-loss = 0.00016513653099536896, eval_loss = 0.00033246339210924115
epoch = 145, train-loss = 0.00016906166449189185, eval_loss = 0.00026940025459482985
epoch = 146, train-loss = 0.00015895774587988852, eval_loss = 0.00030382504721857467
epoch = 147, train-loss = 0.0001647496223449707, eval_loss = 0.00033091416336455433
