x,y,angle
-4.867104004,-1.143484368,1.801715818
-4.878294772,-1.094756507,1.791715984
-4.888997716,-1.04591919,1.781716146
-4.899211765,-0.996977301,1.771716305
-4.908935898,-0.947935733,1.761716462
-4.918169143,-0.898799391,1.751716615
-4.926910577,-0.849573187,1.741716766
-4.935159325,-0.800262044,1.731716913
-4.942914563,-0.750870892,1.721717059
-4.950175515,-0.70140467,1.711717201
-4.956941456,-0.651868324,1.701717341
-4.96321171,-0.602266809,1.691717478
-4.968985648,-0.552605082,1.681717613
-4.974262694,-0.502888111,1.671717745
-4.97904232,-0.453120867,1.661717874
-4.983324049,-0.403308325,1.651718002
-4.987107453,-0.353455468,1.641718127
-4.990392152,-0.303567279,1.631718249
-4.993177819,-0.253648748,1.62171837
-4.995464176,-0.203704866,1.611718488
-4.997250993,-0.153740626,1.601718604
-4.998538092,-0.103761026,1.591718717
-4.999325345,-0.053771062,1.581718829
-4.999612673,-0.003775734,1.571718939
-4.999400046,0.04621996,1.561719046
-4.998687488,0.09621102,1.551719152
-4.997475068,0.146192447,1.541719255
-4.995762908,0.196159243,1.531719357
-4.993551179,0.246106413,1.521719457
-4.990840103,0.296028961,1.511719555
-4.987629951,0.345921896,1.501719651
-4.983921043,0.395780228,1.491719745
-4.979713751,0.445598973,1.481719838
-4.975008496,0.495373148,1.471719929
-4.969805747,0.545097776,1.461720018
-4.964106026,0.594767886,1.451720106
-4.957909902,0.64437851,1.441720191
-4.951217995,0.693924687,1.431720276
-4.944030974,0.743401463,1.421720359
-4.936349558,0.792803892,1.41172044
-4.928174515,0.842127032,1.40172052
-4.919506662,0.891365951,1.391720598
-4.910346867,0.940515727,1.381720675
-4.900696045,0.989571444,1.37172075
-4.890555161,1.038528196,1.361720824
-4.879925229,1.08738109,1.351720897
-4.868807313,1.136125238,1.341720968
-4.857202525,1.184755768,1.331721038
-4.845112024,1.233267816,1.321721106
-4.832537019,1.281656532,1.311721174
-4.819478769,1.329917076,1.30172124
-4.805938579,1.378044623,1.291721305
-4.791917802,1.42603436,1.281721369
-4.777417842,1.473881489,1.271721431
-4.762440148,1.521581225,1.261721492
-4.746986217,1.569128798,1.251721553
-4.731057596,1.616519453,1.241721612
-4.714655877,1.663748453,1.23172167
