epoch = 32, train-loss = 0.0002100260928273201, eval_loss = 0.0002844520791802766
epoch = 33, train-loss = 0.00021674055606126785, eval_loss = 0.00027616134018830534
epoch = 34, train-loss = 0.0002192448079586029, eval_loss = 0.00028212503793666947
epoch = 35, train-loss = 0.0002173805423080921, eval_loss = 0.0003146899969510312
epoch = 36, train-loss = 0.00021135080605745317, eval_loss = 0.0003629041800521455
epoch = 37, train-loss = 0.0002035406418144703, eval_loss = 0.00044128643173091815
epoch = 38, train-loss = 0.0001978415437042713, eval_loss = 0.0005297994697993656
epoch = 39, train-loss = 0.00019624829292297363, eval_loss = 0.0006232500638601914
epoch = 40, train-loss = 0.0001972341164946556, eval_loss = 0.0007066886942341642
epoch = 41, train-loss = 0.00020056266337633132, eval_loss = 0.0007732560471543726
epoch = 42, train-loss = 0.00020312801003456116, eval_loss = 0.0008042802647599634
epoch = 43, train-loss = 0.00020539000630378723, eval_loss = 0.0008065089723973904
epoch = 44, train-loss = 0.00020512225106358528, eval_loss = 0.0007630129046035263
epoch = 45, train-loss = 0.00020196309313178063, eval_loss = 0.0006926696536675939
epoch = 46, train-loss = 0.00019994989037513733, eval_loss = 0.0006128839164409997
epoch = 47, train-loss = 0.00019724413752555847, eval_loss = 0.0005619432425723886
epoch = 48, train-loss = 0.0001938813365995884, eval_loss = 0.0004976300768694788
epoch = 49, train-loss = 0.00019614797085523605, eval_loss = 0.00044881028808512776
epoch = 50, train-loss = 0.0001975192129611969, eval_loss = 0.00042779227050970185
epoch = 51, train-loss = 0.00019879411906003952, eval_loss = 0.0004168408659269225
epoch = 52, train-loss = 0.00019984997808933258, eval_loss = 0.0004319502216465068
epoch = 53, train-loss = 0.00019786668941378593, eval_loss = 0.000433995616885851
epoch = 54, train-loss = 0.00019797416403889657, eval_loss = 0.00046821683645248413
epoch = 55, train-loss = 0.0001977071538567543, eval_loss = 0.0005017866573806079
epoch = 56, train-loss = 0.0001975071243941784, eval_loss = 0.0005548863126984183
epoch = 57, train-loss = 0.00019633512943983077, eval_loss = 0.0005820134197765926
epoch = 58, train-loss = 0.00019507460296154023, eval_loss = 0.0006243415036291446
epoch = 59, train-loss = 0.00019679265096783638, eval_loss = 0.0006345233546113068
epoch = 60, train-loss = 0.00019805667921900748, eval_loss = 0.0006438200625608552
epoch = 61, train-loss = 0.00019650118425488473, eval_loss = 0.0006317050670677761
epoch = 62, train-loss = 0.0001962740533053875, eval_loss = 0.0006113354608697711
epoch = 63, train-loss = 0.00019596416503190995, eval_loss = 0.0005892507450760535
epoch = 64, train-loss = 0.00019684946164488792, eval_loss = 0.000568756306508802
